plant_ID,treatment,generation ,flower_color,antho,carot,unknown1,Glucoraphanin,Glucoraphenin,unknown2, Glucoerucin,4-Methylthio-3-butenyl glucosinolate,Glucobrassicin,GSL_total
1.1,0,cross,P,1,0,5,5,170,20,5,205,45,455
1.1,1,cross,P,1,0,10,15,450,55,5,190,60,785
2.1,0,cross,P,1,0,5,10,205,30,5,155,25,435
2.2,0,cross,P,1,0,0,10,145,5,5,305,20,490
2.2,1,cross,P,1,0,5,20,515,15,10,515,35,1115
2.3,0,base,P,1,0,5,5,75,5,20,765,30,905
2.3,1,base,P,1,0,5,5,65,10,10,365,35,495
2.3,1,base,P,1,0,5,5,65,10,10,365,35,495
3.2,0,cross,P,1,0,5,10,220,25,10,515,25,810
3.2,1,cross,P,1,0,15,20,615,80,5,230,35,1000
5.1,1,cross,P,1,0,15,60,540,70,65,830,40,1620
5.3,0,base,P,1,0,10,15,320,40,50,1730,25,2190
6.2,0,cross,P,1,0,5,5,75,10,10,375,20,500
6.2,1,cross,P,1,0,5,5,205,25,10,495,25,770
8.1,0,cross,B OR Y,NA,1,10,15,310,45,15,380,40,815
8.1,1,cross,B OR Y,NA,1,15,30,760,110,5,195,45,1160
8.3,1,cross,P,1,0,10,0,495,70,15,570,50,1210
8.4,0,cross,B OR PINK,1,NA,0,25,350,5,0,15,30,425
8.4,1,cross,B OR PINK,1,NA,15,60,540,70,65,830,40,1620
11.2,0,cross,P,1,0,5,0,110,15,5,505,25,665
11.2,1,cross,P,1,0,10,10,350,50,5,505,40,970
13.2,0,cross,P,1,0,5,10,235,30,5,165,25,475
13.2,1,cross,P,1,0,10,20,510,65,5,300,45,955
16.2,0,cross,P,1,0,10,15,325,35,30,880,30,1325
16.2,1,cross,P,1,0,10,15,550,45,5,210,40,875
18.1,0,base,P,1,0,5,20,300,40,30,900,85,1380
18.2,0,cross,P,1,0,0,5,45,5,10,175,25,265
18.2,1,cross,P,1,0,5,15,215,25,10,220,35,525
19.1,0,cross,P,1,0,5,5,55,10,5,45,20,145
19.1,1,cross,P,1,0,5,5,235,35,5,80,25,390
23.2,0,cross,P,1,0,5,10,180,15,20,820,25,1075
23.2,1,cross,P,1,0,5,20,460,55,30,1515,55,2140
24.1,0,cross,P,1,0,5,5,65,10,15,520,20,640
25.2,0,cross,P,1,0,5,10,180,25,20,650,20,910
25.2,1,cross,P,1,0,5,20,315,45,20,565,25,995
26.2,0,base,Y,0,1,5,20,220,30,35,790,30,1130
26.2,1,base,Y,0,1,5,10,100,15,35,595,25,785
27.3,0,cross,P,1,0,5,10,120,15,10,295,25,480
27.3,1,cross,P,1,0,10,20,395,55,15,510,45,1050
28.1,1,cross,P,1,0,5,10,230,30,10,300,85,670
31.3,0,cross,P,1,0,0,5,70,5,5,295,20,400
31.3,1,cross,P,1,0,5,5,110,10,10,400,25,565
32.4,0,cross,P,1,0,5,10,135,15,15,320,25,525
32.4,1,cross,P,1,0,5,25,440,50,20,610,40,1190
33.1,0,cross,B,1,1,0,5,95,0,10,455,30,595
33.1,1,cross,B,1,1,0,10,365,5,10,690,70,1150
34.2,0,cross,P,1,0,5,5,45,5,5,115,25,205
34.2,1,cross,P,1,0,5,10,240,35,5,265,50,610
35.1,0,cross,P,1,0,5,10,155,15,20,685,40,930
35.2,1,cross,P,1,0,5,20,420,40,15,625,40,1165
36.1,1,cross,W,0,0,5,15,285,35,15,480,25,860
36.2,0,cross,W,0,0,10,15,330,35,35,1280,90,1795
36.2,1,cross,W,0,0,5,15,315,40,5,195,35,610
36.3,0,cross,W,0,0,5,5,100,5,15,435,25,590
36.3,1,cross,W,0,0,5,25,730,30,20,880,80,1770
37.1,0,cross,P,1,0,5,10,120,15,10,290,20,470
37.1,1,cross,P,1,0,10,25,470,60,10,310,25,910
37.2,0,base,P,1,0,5,5,60,10,5,180,30,295
37.2,1,base,P,1,0,5,15,290,45,10,515,35,915
38.2,0,base,P,1,0,5,15,370,45,40,1545,30,2050
38.2,1,base,P,1,0,5,15,350,20,80,2760,30,3260
38.3,0,cross,P,1,0,0,0,90,5,10,450,25,580
38.3,1,cross,P,1,0,0,15,360,5,10,385,35,810
39.4,0,cross,P,1,0,0,5,20,5,5,50,30,115
39.4,1,cross,P,1,0,5,5,180,20,10,275,50,545
40.2,0,cross,P,1,0,5,10,95,5,40,1065,25,1245
40.2,1,cross,P,1,0,5,20,400,35,35,1170,35,1700
40.3,1,cross,P,1,0,5,10,415,50,10,410,35,935
41.3,0,cross,P,1,0,5,10,120,15,25,820,90,1085
41.3,1,cross,P,1,0,10,25,470,60,30,1040,80,1715
42.3,0,cross,P,1,0,5,5,85,10,15,665,20,805
42.3,1,cross,P,1,0,10,15,415,60,10,560,30,1100
43.1,0,cross,P,1,0,5,5,110,10,15,780,30,955
43.1,1,cross,P,1,0,5,15,495,55,10,665,50,1295
43.2,0,cross,P OR W,NA,0,5,5,80,5,10,440,25,570
43.2,1,cross,P OR W,NA,0,5,10,385,25,15,670,40,1150
44.2,0,cross,P,1,0,5,5,90,10,20,655,35,820
44.2,1,cross,P,1,0,5,10,200,30,15,455,40,755
45.1,1,cross,P OR W,NA,0,10,15,265,35,10,300,60,695
47.1,0,cross,P,1,0,5,5,95,10,15,580,20,730
47.1,1,cross,P,1,0,5,15,320,25,20,740,20,1145
48.2,0,cross,P,1,0,0,0,10,0,0,25,20,55
48.2,1,cross,P OR W,NA,0,10,25,520,40,25,1050,25,1695
48.2,1,cross,P OR W,NA,0,10,25,520,40,25,1050,25,1695
49.3,0,cross,P,1,0,5,5,40,5,10,250,20,335
49.3,1,cross,P,1,0,5,10,255,35,10,300,25,640
50.2,0,cross,P,1,0,5,5,90,10,5,165,30,310
51.1,0,cross,P,1,0,5,5,100,10,5,265,25,415
51.1,1,cross,P,1,0,5,10,210,15,25,1060,90,1415
52.1,0,cross,W,0,0,5,15,245,35,20,520,55,895
