sample_ID,seq_ID
1.1,P2_P2A08
1.1,P3_P1E05
2.1,P1_P2E11
2.2,P1_P2D09
2.2,P2_P1B05
2.3,P4_P1D06
2.3,P4_P2B12
2.3,P4_P2G11
3.2,P1_P1F01
3.2,P2_P2E12
5.1,P2_P1A06
5.3,P4_P2H08
6.2,P1_P1D02
6.2,P2_P2A11
8.1,P1_P1D05
8.1,P2_P2H11
8.3,P2_P2H12
8.4,P1_P1C04
8.4,P2_P1E05
11.2,P1_P1F06
11.2,P3_P1F06
13.2,P1_P2C12
13.2,P2_P1A01
16.2,P2_P1H06
16.2,P3_P1G01
18.1,P4_P2F08
18.2,P1_P1C05
18.2,P3_P1C04
19.1,P1_P2G12
19.1,P3_P1A05
23.2,P1_P2F12
23.2,P2_P1B04
24.1,P1_P2B11
25.2,P1_P1E03
25.2,P2_P2F08
26.2,P3_P2E11
26.2,P3_P2G07
27.3,P1_P1F02
27.3,P3_P1C06
29.1,P2_P2F12
31.3,P1_P2C08
31.3,P3_P1B01
32.4,P1_P2D12
32.4,P2_P2B10
33.1,P1_P1H02
33.1,P1_P2E07
34.2,P1_P1H06
34.2,P3_P1F01
35.1,P1_P1A03
35.2,P2_P2D08
36.1,P2_P2G10
36.2,P1_P1E01
36.2,P1_P2G08
36.3,P1_P2E10
36.3,P2_P2E08
37.1,P1_P1G06
37.1,P2_P1H04
37.2,P3_P2C07
37.2,P4_P2F09
38.2,P4_P1E04
38.2,P4_P2D08
38.3,P1_P1A05
38.3,P2_P2G12
39.4,P1_P2E09
39.4,P2_P1A04
40.2,P1_P2H09
40.2,P2_P2H08
40.3,P3_P1A01
41.3,P1_P1B03
41.3,P2_P2C09
42.3,P1_P2F08
42.3,P3_P1C02
43.1,P2_P1F04
43.1,P2_P1H02
43.2,P2_P1F06
43.2,P2_P1H01
44.2,P1_P1C01
44.2,P2_P2B11
45.4,P3_P1C03
47.1,P1_P1B01
47.1,P2_P2E11
48.2,P1_P2D08
48.2,P2_P2B08
48.2,P2_P2G07
49.3,P1_P2A11
49.3,P2_P1F03
50.2,P1_P1A04
51.1,P1_P1D06
51.1,P2_P1D01
52.1,P1_P1D01
52.1,P2_P1E03
52.3,P1_P2G09
52.3,P3_P1E02
53.4,P2_P1G04
53.4,P3_P1F02
54.4,P2_P1E02
55.2,P1_P1D04
55.2,P2_P1D03
56.2,P2_P2D11
58.2,P2_P1G05
58.2,P2_P1H05
58.2,P3_P2G10
59.2,P1_P1B02
59.2,P2_P1D04
60.2,P1_P2E12
60.2,P2_P2E07
61.3,P2_P2E10
62.1,P3_P1D05
65.1,P1_P1F05
65.1,P3_P1B04
66.1,P1_P2D10
66.1,P3_P1B02
70.3,P3_P1D01
71.1,P1_P2A08
71.2,P3_P1D06
72.4,P1_P2A10
72.4,P2_P1D05
75.4,P2_P2F10
76.3,P1_P1C02
76.3,P2_P2E09
77.1,P2_P1B03
78.2,P1_P2H11
78.2,P2_P2C08
79.2,P1_P1B06
79.2,P3_P1B06
81.2,P1_P2B12
81.2,P2_P2C10
83.2,P2_P2C12
84.3,P2_P2A12
86.3,P4_P1E01
86.3,P4_P2H12
87.2,P1_P2A12
87.2,P3_P1E01
88.1,P1_P1A01
88.1,P2_P2D12
88.2,P1_P2F07
90.1,P1_P1F03
90.1,P3_P1C01
91.1,P1_P2A09
91.1,P2_P1F01
92.1,P1_P2C09
92.1,P2_P2H09
93.1,P1_P1E05
93.1,P2_P1D06
93.2,P4_P1E02
93.2,P4_P2G12
94.2,P1_P1G02
94.2,P1_P1H03
94.4,P2_P1C04
96.2,P1_P1G04
96.2,P3_P1F05
97.1,P1_P1C06
97.1,P3_P1D02
97.3,P3_P1G03
97.3,P3_P2B07
98.1,P2_P1C02
